danceability,energy,key,mode,acousticness,instrumentalness,liveness,valence,tempo
0.486,0.567,1,1,0.31,0.0,0.0949,0.154,93.68
0.548,0.816,0,1,0.122,0.0,0.335,0.557,95.39
0.613,0.581,0,0,0.537,0.000345,0.25,0.551,130.033
0.795,0.48,3,1,0.243,0.0,0.271,0.723,149.919
0.785,0.504,9,1,0.00999,0.0,0.356,0.799,129.937
0.823,0.586,6,0,0.114,0.0,0.193,0.347,125.971
0.825,0.458,0,1,0.114,0.0,0.102,0.161,145.115
0.747,0.622,11,1,0.176,0.0,0.151,0.57,159.93
0.8,0.56,5,0,0.057,0.0,0.134,0.45,163.071
0.596,0.522,9,1,0.373,0.0,0.291,0.443,76.042
0.661,0.633,7,1,0.038,2.82e-06,0.124,0.613,81.984
0.431,0.321,9,1,0.0378,0.0,0.0936,0.262,79.478
0.594,0.6,2,1,0.306,0.0,0.149,0.5,145.967
0.764,0.555,11,1,0.275,0.0,0.0824,0.255,111.004
0.53,0.864,4,0,0.000753,0.000459,0.354,0.484,166.312
0.412,0.902,9,1,0.0484,0.131,0.405,0.422,89.74
0.31,0.7,9,1,0.011,0.00965,0.0828,0.763,188.386
0.307,0.433,1,1,0.388,9.08e-05,0.332,0.224,160.9
0.73,0.868,5,1,0.0632,0.0661,0.318,0.923,148.217
0.755,0.578,0,0,0.316,0.0,0.25,0.581,94.148
0.632,0.495,7,1,0.333,0.0,0.0941,0.233,77.083
0.701,0.668,5,0,0.0916,2.09e-06,0.111,0.553,82.978
0.379,0.249,11,1,0.84,0.0,0.107,0.264,83.258
0.477,0.854,0,1,0.0603,0.0,0.168,0.494,144.841
0.632,0.868,5,1,0.0426,0.263,0.307,0.455,122.98
0.75,0.664,8,0,0.275,0.0,0.0632,0.617,105.023
0.67,0.833,7,1,0.132,0.195,0.109,0.522,127.984
0.734,0.874,8,1,0.168,1.14e-05,0.0489,0.905,122.953
0.729,0.788,10,0,0.0703,0.0,0.115,0.857,118.039
0.599,0.458,10,0,0.0114,0.00464,0.0996,0.352,69.971
0.611,0.605,6,1,0.118,0.00012,0.0856,0.45,147.971
0.289,0.619,0,1,0.877,0.0298,0.397,0.197,72.139
0.724,0.48,2,1,0.211,0.0772,0.289,0.591,125.007
0.584,0.76,10,1,0.0475,0.187,0.0843,0.782,134.989
0.519,0.862,7,1,0.0156,2.37e-06,0.164,0.396,159.938
0.548,0.971,9,1,0.00324,0.000388,0.065,0.373,135.028
0.49,0.742,8,1,0.000352,0.0,0.0576,0.278,120.012
0.451,0.94,10,1,1.37e-05,0.0,0.585,0.134,126.917
0.468,0.934,8,1,0.000274,0.000345,0.0995,0.557,179.998
0.482,0.101,8,0,0.965,0.00335,0.125,0.189,105.719
0.4,0.0763,0,0,0.968,0.828,0.106,0.173,59.235
0.401,0.0236,6,0,0.978,0.579,0.102,0.163,110.519
0.35,0.215,8,1,0.933,0.911,0.126,0.135,99.903
0.327,0.145,5,1,0.945,0.884,0.091,0.136,178.966
0.221,0.126,0,1,0.989,0.897,0.102,0.216,133.63
0.0811,0.0122,4,0,0.902,0.308,0.0648,0.0384,74.554
0.204,0.0331,2,0,0.927,0.825,0.0954,0.0547,116.2
0.23,0.0487,5,1,0.986,0.945,0.0679,0.101,134.839
0.205,0.0525,1,1,0.98,0.906,0.103,0.0511,88.316
0.784,0.708,2,1,0.457,7.5e-05,0.0913,0.749,120.109
0.539,0.599,3,1,0.0375,0.0,0.0754,0.636,167.7
0.458,0.421,4,1,0.504,2.53e-05,0.0705,0.368,146.598
0.472,0.711,0,1,0.276,1.34e-06,0.103,0.527,120.021
0.579,0.477,10,0,0.127,0.0,0.0974,0.537,89.724
0.765,0.688,8,1,0.0164,0.0,0.112,0.794,121.901
0.693,0.759,7,1,0.055,1.36e-06,0.116,0.635,112.983
0.735,0.727,0,0,0.362,0.0,0.0997,0.612,111.928
0.406,0.474,6,1,0.768,0.0,0.106,0.206,179.914
0.828,0.782,11,1,0.0694,3.41e-05,0.0544,0.351,130.013
0.21,0.94,9,1,0.00602,0.0,0.269,0.255,179.722
0.622,0.961,11,0,0.00523,0.0,0.0854,0.449,114.452
0.569,0.83,9,0,0.0807,0.0,0.114,0.609,170.094
0.517,0.906,1,1,0.00272,9.26e-06,0.113,0.731,172.977
0.465,0.896,2,1,0.00725,0.0,0.206,0.569,181.014
0.263,0.965,10,0,1.42e-05,3.13e-05,0.0598,0.488,157.102
0.348,0.958,10,0,3.95e-06,0.000225,0.0744,0.434,185.774
0.311,0.959,6,0,0.000505,0.00012,0.328,0.336,149.406
0.435,0.94,2,0,7.9e-05,7.66e-05,0.0659,0.42,139.028
0.647,0.983,7,1,0.000648,6.4e-05,0.293,0.609,124.971
0.637,0.612,1,1,0.0314,0.000326,0.155,0.711,76.295
0.664,0.686,5,0,0.00681,0.0,0.135,0.529,86.352
0.758,0.786,4,0,0.156,0.0,0.0658,0.786,83.495
0.683,0.724,5,0,0.0909,0.0,0.339,0.742,80.932
0.939,0.431,11,0,0.153,4.99e-05,0.13,0.729,123.671
0.388,0.694,10,1,0.0711,0.0168,0.0814,0.204,173.998
0.673,0.5,0,1,0.15,0.0145,0.107,0.43,175.966
0.67,0.423,7,1,0.288,0.000144,0.338,0.577,94.01
0.532,0.473,2,1,0.647,8.03e-06,0.0753,0.345,145.072
0.263,0.534,5,0,0.174,0.0929,0.15,0.52,178.576
0.598,0.713,2,1,0.0343,0.0,0.111,0.238,94.012
0.81,0.41,11,0,0.688,0.0,0.124,0.821,97.918
0.673,0.581,8,0,0.199,0.0,0.0744,0.521,101.908
0.857,0.609,2,1,0.0215,0.000132,0.216,0.339,107.027
0.721,0.868,4,0,0.0259,0.451,0.102,0.884,90.0
